name,ACH-000159,ACH-000189,ACH-000234,ACH-000246,ACH-000250,ACH-000262,ACH-000272,ACH-000313,ACH-000317,ACH-000375,ACH-000385,ACH-000411,ACH-000433,ACH-000484,ACH-000495,ACH-000600,ACH-000649,ACH-000684,ACH-000709,ACH-000792,ACH-000907,ACH-001163,ACH-001194,ACH-001310,ACH-001398,ACH-001532,ACH-001687,ACH-001688,ACH-002150,ACH-002189,most_freq
AAMDC,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
AAMP,E,aE,E,aE,aE,aE,E,aE,E,aE,E,E,E,E,aE,E,aE,aE,aE,aE,aE,aE,E,aE,aE,E,aE,aE,aE,E,aE
AANAT,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
AAR2,NE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE,aNE,NE,NE,aNE,NE,aNE,NE,NE,aNE,aNE,NE,aNE,NE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE
AARD,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
AARS1,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
AARS2,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aE,aE,aNE,aNE,aNE,aNE,aNE,aNE,aE,aNE,aNE,aNE,aNE,aE,aNE,aE,aE,aE,aE,aNE,aE,aNE,aNE
AARSD1,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
AASDH,aNE,NE,NE,NE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE,aNE,NE,aNE
AASDHPPT,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aE,aNE,aNE,aE,aNE,aNE,aNE,aE,aNE,aNE,aE,aNE,aNE,aNE,aE,aNE,aE,aE,aNE,aNE,aNE,aNE
AASS,aNE,NE,NE,aNE,NE,aNE,aNE,NE,aNE,NE,NE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,NE,NE,NE,aNE,NE,NE,NE,aNE,NE,NE,NE,NE
AATF,E,aE,aE,E,aE,E,aE,aE,aE,aE,aE,aE,E,aE,aE,E,aE,aE,E,aE,E,aE,E,aE,E,aE,aNE,aE,E,aE,aE
AATK,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE
ABAT,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,NE,NE,aNE,aNE,NE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE
ABCA1,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE
ABCA10,aNE,NE,NE,NE,aNE,NE,NE,aNE,aNE,aNE,NE,NE,aNE,NE,NE,NE,aNE,NE,aNE,aNE,NE,NE,NE,aNE,aNE,NE,aNE,NE,aNE,aNE,NE
ABCA12,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
ABCA13,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,NE,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE
ABCA2,NE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE
ABCA3,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,aNE,NE,aNE,NE,aNE,NE,aNE,NE,NE,aNE,NE,NE,aNE,NE,NE,aNE,aNE,NE,NE,aNE
ABCA4,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
ABCA5,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,NE,aNE,NE,aNE,NE,aNE
ABCA6,aNE,NE,NE,aNE,aNE,NE,aNE,aNE,NE,NE,NE,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,NE,aNE,NE,NE,aNE,aNE,aNE
ABCA7,NE,NE,aNE,aNE,NE,NE,aNE,NE,aNE,NE,NE,NE,NE,aNE,aNE,NE,aNE,NE,aNE,aNE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,NE
ABCA8,aNE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
ABCA9,NE,aNE,NE,NE,NE,aNE,NE,aNE,NE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,NE,NE,aNE,aNE,aNE,NE,NE,NE,NE,aNE,aNE
ABCB1,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
ABCB10,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
ABCB11,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,NE,NE,aNE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE
ABCB4,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
ABCB5,aNE,NE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,NE,aNE,NE,aNE,aNE,aNE,NE,aNE,NE,NE,NE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE
ABCB6,aNE,NE,aNE,aNE,NE,aNE,NE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE
ABCB7,aE,aE,aE,E,aE,E,aE,aNE,E,E,E,aE,E,aE,aE,,aE,aE,E,E,E,E,E,E,E,aE,E,E,E,aE,E
ABCB8,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,aNE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE
ABCB9,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,NE,NE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE
ABCC1,NE,NE,aNE,NE,NE,aNE,NE,aNE,aNE,aNE,aNE,NE,NE,NE,NE,NE,aNE,NE,NE,aNE,aNE,aNE,NE,NE,NE,NE,aNE,NE,aNE,NE,NE
ABCC10,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
ABCC11,NE,NE,NE,NE,NE,aNE,NE,NE,aNE,NE,NE,NE,aNE,NE,NE,NE,aNE,aNE,aNE,NE,aNE,NE,NE,NE,NE,NE,NE,aNE,aNE,NE,NE
ABCC12,NE,NE,NE,NE,NE,aNE,NE,NE,NE,aNE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
ABCC2,NE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE
ABCC3,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,NE,aNE,aNE,NE,aNE,NE,NE,NE,aNE,aNE,NE,aNE,NE,aNE,aNE,NE,aNE,NE,NE,aNE,aNE,aNE,aNE
ABCC4,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
ABCC5,NE,NE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,NE,NE,NE,NE,aNE,NE,aNE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE
ABCC6,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
ABCC8,aNE,aNE,NE,NE,NE,NE,NE,NE,NE,aNE,NE,aNE,NE,NE,aNE,NE,NE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,NE,NE,NE,aNE,aNE,NE
ABCC9,aNE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,NE,NE,NE,aNE,aNE,aNE,NE,aNE,NE,NE,aNE,aNE,aNE,aNE,NE,NE,NE,aNE
ABCD1,aNE,aNE,aNE,aNE,aE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,,aNE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
ABCD2,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
ABCD3,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE
ABCD4,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
ABCE1,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
ABCF1,E,aE,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
ABCF2,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE
ABCF3,aNE,NE,aNE,aNE,NE,aNE,NE,aNE,NE,NE,NE,NE,NE,aNE,NE,aNE,NE,NE,aNE,aNE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,aNE,NE
ABCG1,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
ABCG2,aNE,aNE,aNE,NE,NE,aNE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,aNE,aNE,NE,aNE,aNE,NE,NE,NE
ABCG4,NE,NE,aNE,NE,NE,NE,NE,NE,aNE,NE,aNE,NE,NE,aNE,NE,NE,aNE,NE,NE,NE,NE,aNE,NE,NE,aNE,NE,NE,aNE,NE,NE,NE
ABCG5,NE,aNE,NE,aNE,NE,aNE,NE,NE,aNE,aNE,NE,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,NE,NE,NE,aNE,aNE,NE,aNE,aNE,aNE
ABCG8,NE,aNE,NE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,NE,NE,NE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,NE,aNE,NE,NE,aNE,NE,NE,NE
ABHD1,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,NE,NE,aNE,NE,aNE,aNE,NE,aNE,aNE,NE,NE,NE,aNE
ABHD10,aNE,NE,aNE,NE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE
ABHD11,aNE,aE,aE,aNE,aNE,aE,aNE,aNE,aE,aNE,aNE,aNE,aE,aNE,aNE,aNE,aNE,aE,aNE,aNE,aE,aNE,aNE,aNE,aE,aNE,aNE,aE,aNE,aNE,aNE
ABHD12,NE,NE,aNE,NE,NE,aNE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE,NE,NE,NE,NE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE
ABHD12B,aNE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,aNE,aNE,NE,NE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,NE,aNE,NE,NE,NE,NE,NE
ABHD13,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
ABHD14A,aNE,NE,aNE,NE,NE,NE,NE,aNE,aNE,aNE,aNE,NE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,NE,aNE
ABHD14B,aNE,NE,aNE,NE,NE,aNE,NE,NE,aNE,aNE,NE,NE,aNE,aNE,NE,NE,aNE,NE,aNE,NE,NE,aNE,aNE,NE,aNE,NE,aNE,NE,aNE,NE,NE
ABHD15,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
ABHD16A,NE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,NE,aNE,NE,NE,aNE,NE,aNE,aNE,NE,NE,NE,aNE,NE,aNE,NE,aNE,NE,NE,NE,NE,aNE,NE
ABHD16B,NE,aNE,aNE,NE,NE,aNE,NE,NE,NE,aNE,NE,aNE,NE,NE,NE,NE,aNE,NE,NE,NE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,NE
ABHD17A,aE,aE,aE,aNE,aNE,aE,aNE,aE,aNE,aE,aE,aE,aE,aE,aE,aE,aNE,aE,aNE,aE,aE,aE,aE,aE,aE,aE,aNE,aE,aE,aNE,aE
ABHD17B,NE,aNE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,NE,NE,NE,NE,NE,aNE,NE,NE,aNE,aNE,NE,NE,aNE,NE,aNE,NE,NE
ABHD17C,NE,NE,aNE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,NE,aNE,aNE,NE,aNE,NE,NE,NE,NE
ABHD18,aNE,aNE,NE,NE,NE,NE,NE,aNE,NE,NE,NE,aNE,NE,NE,NE,aNE,NE,NE,NE,aNE,NE,NE,aNE,NE,aNE,NE,NE,aNE,NE,NE,NE
ABHD2,NE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,NE,NE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,NE,aNE,NE,aNE,aNE
ABHD3,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE
ABHD4,NE,NE,NE,NE,NE,NE,aNE,aNE,NE,NE,NE,NE,NE,NE,aNE,aNE,NE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,aNE,NE,NE
ABHD5,NE,aNE,aNE,NE,aNE,NE,NE,NE,aNE,aNE,aNE,NE,NE,NE,NE,NE,NE,NE,aNE,aNE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
ABHD6,NE,aNE,NE,NE,NE,aNE,NE,aNE,NE,NE,NE,NE,aNE,aNE,aNE,NE,aNE,NE,aNE,NE,NE,aNE,aNE,NE,NE,NE,NE,NE,NE,NE,NE
ABHD8,aNE,NE,aNE,NE,aNE,NE,NE,NE,NE,aNE,aNE,NE,aNE,NE,NE,aNE,aNE,NE,aNE,aNE,aNE,NE,NE,aNE,NE,NE,NE,NE,aNE,NE,NE
ABI1,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE,NE,aNE,NE,aNE,NE,NE,aNE,aNE,aNE,aNE,NE,aNE
ABI2,aNE,aNE,aNE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,aNE,NE,NE,NE,aNE,aNE,NE,NE,NE,aNE,aNE,NE,aNE,aNE,NE,NE,NE,NE
ABI3,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,NE,NE,aNE,NE,NE,aNE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,aNE
ABI3BP,NE,NE,NE,NE,aNE,aNE,NE,aNE,NE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,NE,NE,NE,aNE,NE,aNE,aNE,aNE
ABITRAM,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,NE,NE,aNE,NE,NE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,NE,NE,NE,aNE,NE,aNE,aNE,aNE
ABL1,aNE,aNE,NE,NE,aNE,aE,NE,NE,NE,aNE,NE,aNE,NE,aNE,NE,NE,aNE,aNE,NE,NE,NE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,NE,NE
ABL2,NE,NE,NE,aNE,NE,NE,NE,NE,aNE,aNE,aNE,NE,NE,aNE,aNE,NE,aNE,aNE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,aNE,NE,NE
ABLIM1,NE,NE,NE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,NE,NE,aNE,aNE,NE
ABLIM2,NE,NE,aNE,aNE,aNE,NE,NE,NE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE,NE,aNE
ABLIM3,NE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,NE,NE,aNE,aNE,aNE,NE,NE,NE,NE,NE,aNE,aNE,NE,aNE,aNE,NE,aNE
ABR,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
ABRA,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,NE,aNE,NE,aNE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE,NE,NE,NE,aNE,NE,aNE
ABRACL,NE,NE,aNE,aNE,NE,NE,NE,aNE,NE,NE,NE,NE,aNE,NE,NE,aNE,aNE,NE,aNE,NE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,NE,NE
ABRAXAS1,aNE,aNE,aNE,aNE,aNE,aE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
ABRAXAS2,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,NE,aNE,NE,NE,aNE,NE,NE,NE,NE,NE
ABT1,E,aE,aE,aE,aE,aE,aE,aE,E,E,aE,E,E,aE,E,aE,aE,E,aE,E,E,aE,E,E,aE,aE,aE,E,aE,aE,aE
ABTB1,NE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,aNE,NE,NE,NE,aNE,NE,NE,NE
ABTB2,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,aNE,NE,NE,aNE,NE,NE,aNE,NE,NE,aNE,NE,NE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE
ACAA1,aNE,NE,aNE,NE,aNE,NE,aNE,NE,aNE,NE,aNE,NE,NE,aNE,aNE,aNE,NE,NE,NE,aNE,NE,NE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE
ACAA2,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,NE,NE,aNE,NE,NE,aNE,NE,aNE,NE,NE,NE,aNE,NE,NE,aNE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE
ACACA,aNE,aNE,aNE,aNE,aE,aE,aE,aE,aE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aE,aNE,aE,aE,aNE,aE,aNE,aNE,aNE,aNE,aE,aNE,aNE,aNE,aNE
