"id","label","KBM7_CS_label","wang_consensus_o","wang_consensus_e","label_crispr_100","label_crispr_50","label_crispr_25","label_crispr_10","label_CS_ACH_most_freq","label_CS_ACH_CS0_100","fba_label","avana0","avana10","EPGAT_OGEE","avana_OGEE","sanger_OGEE","novartis_OGEE"
"ENSG00000104325","n30","ND","CS3","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","NE","NE","NE","NE"
"ENSG00000099998","n31","NE","CS6","NE","NE","NE","NE","NE","NE","CS4","CS4","false","NE","NE","NE","NE","NE",NA
"ENSG00000134824","n32","E","CS1","E","NE","NE","NE","NE","NE","CS4","CS4","false","NE","NE","E","NE","NE",NA
"ENSG00000089597","n33","NE","CS2","E","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","E","NE","NE",NA
"ENSG00000115275","n34","NE","CS1","NE","NE","NE","NE","NE","NE","CS3","CS3","true","NE","NE","E","NE","NE",NA
"ENSG00000118705","n35","NE","CS0","E","NE","NE","NE","NE","E","CS1","CS1","true","E","E","E","E","E",NA
"ENSG00000049860","n36","NE","CS5","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE",NA
"ENSG00000111885","n37","ND","CS9","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE",NA
"ENSG00000139133","n38","ND","CS5","NE","NE","NE","NE","NE","NE","CS3","CS3","true","NE","NE","NE","NE","NE","NE"
"ENSG00000100156","n39","NE","CS3","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE",NA
"ENSG00000161267","n40","NE","CS5","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE",NA
"ENSG00000155380","n41","NE","CS4","E","NE","NE","NE","NE","NE","CS4","CS4","true","E","NE","E","NE","NE",NA
"ENSG00000120137","n42","NE","CS1","NE","NE","NE","NE","NE","NE","CS3","CS3","false","NE","NE","E","NE","NE","NE"
"ENSG00000127125","n43","NE","CS0","E","NE","NE","NE","NE","NE","CS1","CS1","true","E","NE","E","NE","NE",NA
"ENSG00000163344","n44","NE","CS0","E","NE","NE","NE","NE","NE","CS1","CS1","true","E","E","E","NE","NE","NE"
"ENSG00000110921","n45","NE","CS0","E","NE","NE","E","E","E","CS0","CS1","true","ND","ND","E","E","E",NA
"ENSG00000119711","n46","NE","CS2","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","NE","NE","NE","NE"
"ENSG00000124370","n47","NE","CS9","NE","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","NE","NE","NE",NA
"ENSG00000113161","n48","NE","CS0","E","E","NE","E","E","E","CS0","CS1","true","E","E","E","NE","E","NE"
"ENSG00000147576","n49","NE","CS2","NE","NE","NE","NE","NE","NE","CS4","CS4","false","NE","NE","E","NE","NE",NA
"ENSG00000124767","n50","E","CS5","NE","NE","NE","NE","NE","NE","CS4","CS4","false","NE","NE","E","NE","NE",NA
"ENSG00000014641","n51","NE","CS7","NE","NE","NE","NE","NE","NE","CS4","CS4","false","NE","NE","E","NE","NE","NE"
"ENSG00000146701","n52","NE","CS7","NE","NE","NE","NE","NE","NE","CS3","CS3","true","NE","NE","E","NE","NE","NE"
"ENSG00000102967","n53","NE","CS0","E","E","NE","NE","NE","NE","CS3","CS3","true","E","NE","E","NE","NE",NA
"ENSG00000084774","n54","ND","CS0","E","NE","NE","NE","NE","NE","CS2","CS2","true","E","E","E","NE","NE","NE"
"ENSG00000175536","n55","NE","CS0","E","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","E","NE","NE",NA
"ENSG00000151093","n56","NE","CS0","E","NE","NE","NE","NE","NE","CS2","CS2","false","E","NE","E","NE","NE",NA
"ENSG00000152463","n57","NE","CS9","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE",NA
"ENSG00000149313","n58","ND","CS0","E","NE","NE","NE","NE","NE","CS2","CS2","true","NE","NE","E","NE","NE",NA
"ENSG00000084073","n59","ND","CS8","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","NE","NE","NE","NE"
"ENSG00000138814","n60","NE","CS8","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","E","NE","NE","NE"
"ENSG00000144843","n61","NE","CS3","NE","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","E","NE","NE",NA
"ENSG00000054356","n62","NE","CS8","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","E","NE","NE",NA
"ENSG00000055609","n63","NE","CS3","E","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","E","NE","NE","NE"
"ENSG00000077463","n64","ND","CS7","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","NE","NE","NE","NE"
"ENSG00000141736","n65","ND","CS2","NE","NE","NE","NE","NE","NE","CS3","CS3","false","NE","NE","E","NE","NE","NE"
"ENSG00000164951","n66","NE","CS7","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE",NA
"ENSG00000004799","n67","NE","CS9","NE","NE","NE","NE","NE","NE","CS4","CS4","false","NE","NE","E","NE","NE","NE"
"ENSG00000069764","n68","NE","CS1","NE","NE",NA,NA,NA,NA,NA,NA,"false","ND","ND","NE","NE","NE",NA
"ENSG00000053371","n69","NE","CS9","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE","NE"
"ENSG00000067113","n70","ND",NA,NA,NA,"NE","NE","NE","NE","CS6","CS6","false","NE","NE","NE","NE",NA,NA
"ENSG00000175445","n71","ND","CS6","NE","NE","NE","NE","NE","NE","CS6","CS6","true","NE","NE","E","NE","NE",NA
"ENSG00000101333","n72","NE","CS6","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE",NA
"ENSG00000164023","n73","ND","CS7","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE","NE"
"ENSG00000006757","n74","NE","CS6","NE","NE",NA,NA,NA,NA,NA,NA,"false","NE","NE","E","NE","NE",NA
"ENSG00000072062","n75","NE","CS7","NE","NE","NE","NE","NE","NE","CS3","CS3","false","NE","NE","E","NE","NE","NE"
"ENSG00000143819","n76","E","CS3","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","NE","NE","NE",NA
"ENSG00000145293","n77","NE","CS3","NE","NE","NE","NE","NE","NE","CS7","CS7","true","NE","NE","E","NE","NE",NA
"ENSG00000105679","n78","NE","CS1","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","NE","NE","NE","NE"
"ENSG00000096006","n79","NE","CS7","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","NE","NE","NE",NA
"ENSG00000106853","n80","NE","CS7","NE","NE","NE","NE","NE","NE","CS4","CS4","false","NE","NE","NE","NE","NE","NE"
"ENSG00000171903","n81","NE","CS2","NE","NE","NE","NE","NE","NE","CS3","CS3","false","E","NE","NE","NE","NE","NE"
"ENSG00000157326","n82","NE","CS9","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE",NA
"ENSG00000100714","n83","NE","CS0","E","NE","NE","NE","NE","NE","CS3","CS3","true","NE","NE","E","NE","NE","NE"
"ENSG00000138363","n84","NE","CS0","E","NE","NE","NE","NE","NE","CS4","CS4","true","E","NE","E","E","NE","NE"
"ENSG00000065911","n85","ND","CS0","E","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","E","NE","NE","NE"
"ENSG00000136877","n86","NE","CS0","E","NE","NE","NE","NE","NE","CS2","CS2","true","E","NE","E","NE","NE",NA
"ENSG00000137563","n87","ND","CS2","NE","NE","NE","NE","NE","NE","CS6","CS6","true","NE","NE","E","NE","NE",NA
"ENSG00000160882","n88","NE","CS7","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","E","NE","NE","NE"
"ENSG00000108839","n89","NE","CS3","NE","NE","NE","NE","NE","NE","CS6","CS6","true","NE","NE","NE","NE","NE","NE"
"ENSG00000059377","n90","NE","CS9","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","NE","NE","NE","NE"
"ENSG00000116157","n91","NE","CS8","NE","NE","NE","NE","NE","NE","CS4","CS4","false","NE","NE","NE","NE","NE",NA
"ENSG00000120915","n92","NE","CS2","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","NE","NE","NE",NA
"ENSG00000008394","n93","NE","CS8","NE","NE","NE","NE","NE","NE","CS7","CS7","false","NE","NE","NE","NE","NE",NA
"ENSG00000161905","n94","NE","CS3","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE","NE"
"ENSG00000087076","n95","NE","CS5","NE","NE","NE","NE","NE","NE","CS7","CS7","false","NE","NE","NE","NE","NE","NE"
"ENSG00000135437","n96","NE","CS1","E","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","E","NE","NE","NE"
"ENSG00000128918","n97","ND","CS5","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE","NE"
"ENSG00000114113","n98","NE","CS7","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE","NE"
"ENSG00000143815","n99","ND","CS4","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","NE","NE","NE","NE"
"ENSG00000164120","n100","ND","CS7","NE","NE","NE","NE","NE","NE","CS8","CS8","true","NE","NE","NE","NE","NE","NE"
"ENSG00000132196","n101","NE","CS6","NE","NE","NE","NE","NE","NE","CS3","CS3","true","NE","NE","NE","NE","NE","NE"
"ENSG00000088002","n102","NE","CS4","NE","NE","NE","NE","NE","NE","CS3","CS3","true","NE","NE","NE","NE","NE","NE"
"ENSG00000101846","n103","NE","CS8","NE","NE",NA,NA,NA,NA,NA,NA,"true","NE","NE","E","NE","NE",NA
"ENSG00000148795","n104","NE","CS2","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","E","NE","NE","NE"
"ENSG00000005381","n105","NE","CS2","NE","NE","NE","NE","NE","NE","CS4","CS4","false","NE","NE","E","NE","NE",NA
"ENSG00000072506","n106","NE","CS0","E","NE",NA,NA,NA,NA,NA,NA,"true","E","E","E","NE","NE","NE"
"ENSG00000138061","n107","NE","CS7","NE","NE","NE","NE","NE","NE","CS7","CS7","true","NE","NE","E","NE","NE","NE"
"ENSG00000119927","n108","NE","CS7","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE",NA
"ENSG00000006530","n109","ND","CS7","NE","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","E","NE","NE",NA
"ENSG00000117448","n110","NE","CS1","E","NE","NE","NE","NE","NE","CS6","CS6","true","NE","NE","E","NE","NE","NE"
"ENSG00000134255","n111","NE","CS5","E","NE","NE","NE","NE","NE","CS2","CS2","false","NE","NE","E","NE","NE",NA
"ENSG00000068745","n112","ND","CS7","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","E","NE","NE","NE"
"ENSG00000151151","n113","NE","CS2","E","NE","NE","NE","NE","NE","CS6","CS6","true","NE","NE","E","NE","NE",NA
"ENSG00000100605","n114","NE","CS0","E","NE","NE","NE","NE","NE","CS3","CS3","true","NE","NE","E","NE","NE","NE"
"ENSG00000086544","n115","NE","CS5","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE","NE"
"ENSG00000068383","n116","NE","CS7","NE","NE","NE","NE","NE","NE","CS4","CS4","false","NE","NE","E","NE","NE","NE"
"ENSG00000151689","n117","NE","CS6","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","E","NE","NE",NA
"ENSG00000040933","n118","NE","CS7","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE","NE"
"ENSG00000105655","n119","NE","CS2","NE","NE","NE","NE","NE","NE","CS2","CS2","true","NE","NE","NE","NE","NE",NA
"ENSG00000145725","n120","E","CS1","NE","NE","NE","NE","NE","NE","CS3","CS3","false","NE","NE","E","NE","NE",NA
"ENSG00000166741","n121","NE","CS6","NE","NE","NE","NE","NE","NE","CS7","CS7","true","NE","NE","NE","NE","NE","NE"
"ENSG00000112499","n122","E","CS4","NE","NE","NE","NE","NE","NE","CS6","CS6","true","NE","NE","NE","NE","NE",NA
"ENSG00000007168","n123","ND","CS0","E","E","E","E","E","E","CS0","CS0","false","ND","ND","E","E","E","NE"
"ENSG00000011405","n124","NE","CS4","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","E","NE","NE","NE"
"ENSG00000003987","n125","E","CS3","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","NE","NE","NE","NE"
"ENSG00000107242","n126","NE","CS6","NE","NE","NE","NE","NE","NE","CS7","CS7","false","NE","NE","E","NE","NE","NE"
"ENSG00000078142","n127","NE","CS0","E","NE","NE","NE","NE","NE","CS1","CS1","true","ND","ND","E","E","NE","NE"
"ENSG00000078269","n128","NE","CS1","E","NE","NE","NE","NE","NE","CS7","CS7","false","NE","NE","NE","NE","NE","NE"
"ENSG00000038210","n129","NE","CS9","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","E","NE","NE","NE"
"ENSG00000132958","n130","NE","CS5","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE","NE"
"ENSG00000155099","n131","NE",NA,NA,NA,"NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE",NA,"NE"
"ENSG00000115020","n132","NE","CS9","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","E","NE","NE","NE"
"ENSG00000079931","n133","ND","CS5","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE",NA
"ENSG00000159423","n134","ND","CS9","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","NE","NE","NE","NE"
"ENSG00000250799","n135","NE","CS2","NE","NE","NE","NE","NE","NE","CS5","CS5","true","E","NE","NE","NE","NE","NE"
"ENSG00000100033","n136","NE","CS1","E","NE","NE","NE","NE","NE","CS4","CS4","false","NE","NE","NE","NE","NE","NE"
"ENSG00000087253","n137","NE","CS7","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE",NA
"ENSG00000111666","n138","NE","CS4","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE",NA
"ENSG00000131373","n139","NE","CS8","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE",NA
"ENSG00000164708","n140","NE","CS3","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","E","NE","NE","NE"
"ENSG00000149089","n141","NE","CS2","NE","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","NE","NE","NE",NA
"ENSG00000131979","n142","NE","CS6","NE","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","E","NE","NE",NA
"ENSG00000115361","n143","NE","CS4","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","NE","NE","NE","NE"
"ENSG00000072210","n144","NE","CS9","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","NE","NE","NE","NE"
"ENSG00000174640","n145","NE","CS3","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","E","NE","NE",NA
"ENSG00000119723","n146","NE","CS0","E","NE","NE","NE","NE","NE","CS6","CS6","true","NE","NE","E","NE","NE",NA
"ENSG00000116133","n147","NE","CS7","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","NE","NE","NE",NA
"ENSG00000036530","n148","NE","CS3","NE","NE","NE","NE","NE","NE","CS7","CS7","true","NE","NE","NE","NE","NE","NE"
"ENSG00000083807","n149","NE","CS7","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","E","NE","NE",NA
"ENSG00000180432","n150","NE","CS3","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","NE","NE","NE","NE"
"ENSG00000138135","n151","NE","CS4","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","NE","NE","NE",NA
"ENSG00000135929","n152","E","CS8","NE","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","E","NE","NE","NE"
"ENSG00000162882","n153","NE","CS2","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","E","NE","NE",NA
"ENSG00000023330","n154","NE","CS0","E","NE","NE","NE","NE","NE","CS4","CS4","false","NE","NE","E","NE","NE","NE"
"ENSG00000008311","n155","ND","CS8","NE","NE","NE","NE","NE","NE","CS6","CS6","true","NE","NE","NE","NE","NE",NA
"ENSG00000117480","n156","NE","CS3","NE","NE","NE","NE","NE","NE","CS3","CS3","true","NE","NE","NE","NE","NE",NA
"ENSG00000130649","n157","NE","CS4","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","NE","NE","NE","NE"
"ENSG00000025708","n158","NE","CS4","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","E","NE","NE","NE"
"ENSG00000169299","n159","ND","CS5","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","NE","NE","NE",NA
"ENSG00000007001","n160","NE","CS8","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE",NA
"ENSG00000023697","n161","NE","CS3","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","NE","NE","NE",NA
"ENSG00000158019","n162","ND",NA,NA,NA,"NE","NE","NE","NE","CS7","CS7","false","NE","NE","E","NE",NA,NA
"ENSG00000093010","n163","NE","CS5","E","NE","NE","NE","NE","NE","CS4","CS4","false","NE","NE","E","NE","NE","NE"
"ENSG00000118596","n164","NE","CS7","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE",NA
"ENSG00000111716","n165","NE","CS6","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE","NE"
"ENSG00000160868","n166","NE","CS8","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","NE","NE","NE","NE"
"ENSG00000213398","n167","NE","CS7","NE","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","NE","NE","NE",NA
"ENSG00000113492","n168","NE","CS9","NE","NE","NE","NE","NE","NE","CS7","CS7","true","NE","NE","NE","NE","NE","NE"
"ENSG00000183044","n169","NE","CS6","NE","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","NE","NE","NE",NA
"ENSG00000083123","n170","NE","CS5","NE","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","NE","NE","NE",NA
"ENSG00000137992","n171","ND","CS2","NE","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","E","NE","NE","NE"
"ENSG00000122971","n172","NE","CS4","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE","NE"
"ENSG00000060982","n173","NE","CS2","NE","NE","NE","NE","NE","NE","CS6","CS6","true","NE","NE","E","NE","NE",NA
"ENSG00000105552","n174","NE","CS8","NE","NE","NE","NE","NE","NE","CS6","CS6","true","NE","NE","NE","NE","NE",NA
"ENSG00000183032","n175","NE","CS7","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","NE","NE","NE",NA
"ENSG00000109576","n176","NE","CS7","NE","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","NE","NE","NE","NE"
"ENSG00000116761","n177","NE","CS2","NE","NE","NE","NE","NE","NE","CS6","CS6","true","NE","NE","NE","NE","NE","NE"
"ENSG00000135094","n178","NE","CS6","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","E","NE","NE","NE"
"ENSG00000171097","n179","ND",NA,NA,NA,"NE","NE","NE","NE","CS6","CS6","true","NE","NE","NE","NE",NA,"NE"
"ENSG00000117592","n180","NE","CS5","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE",NA
"ENSG00000074800","n181","NE","CS0","E","NE","NE","NE","NE","NE","CS2","CS2","false","E","E","E","NE","NE","NE"
"ENSG00000211448","n182","NE","CS9","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","NE","NE","NE","NE"
"ENSG00000197406","n183","NE","CS4","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","NE","NE","NE",NA
"ENSG00000070614","n184","NE","CS3","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","E","NE","NE","NE"
"ENSG00000006534","n185","NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"false","ND","ND",NA,NA,NA,"NE"
"ENSG00000069535","n186","NE","CS7","NE","NE",NA,NA,NA,NA,NA,NA,"false","NE","NE","NE","NE","NE",NA
"ENSG00000002726","n187","NE","CS3","E","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE",NA
"ENSG00000173597","n188","NE","CS8","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","E","NE","NE","NE"
"ENSG00000196502","n189","NE","CS8","NE","NE","NE","NE","NE","NE","CS4","CS4","false","NE","NE","NE","NE","NE","NE"
"ENSG00000167910","n190","NE","CS2","NE","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","NE","NE","NE","NE"
"ENSG00000168306","n191","NE","CS2","NE","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","NE","NE","NE","NE"
"ENSG00000117528","n192","NE","CS5","NE","NE","NE","NE","NE","NE","CS3","CS3","true","NE","NE","NE","NE","NE","NE"
"ENSG00000109956","n193","NE","CS6","NE","NE","NE","NE","NE","NE","CS5","CS5","false","NE","NE","NE","NE","NE",NA
"ENSG00000105953","n194","NE","CS0","E","E","NE","NE","NE","NE","CS1","CS1","true","E","E","E","NE","E","NE"
"ENSG00000133116","n195","ND","CS3","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","NE","NE","NE","NE"
"ENSG00000173085","n196","NE","CS0","E","NE","NE","NE","NE","NE","CS3","CS3","true","E","NE","E","NE","NE",NA
"ENSG00000090054","n197","NE","CS0","E","NE","NE","NE","E","E","CS1","CS1","true","E","NE","E","NE","NE","NE"
"ENSG00000167186","n198","NE","CS2","E","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","E","NE","NE",NA
"ENSG00000115919","n199","ND","CS5","NE","NE","NE","NE","NE","NE","CS4","CS4","true","NE","NE","NE","NE","NE",NA
"ENSG00000198130","n200","NE","CS6","NE","NE","NE","NE","NE","NE","CS3","CS3","true","NE","NE","E","NE","NE",NA
"ENSG00000132437","n201","NE","CS6","NE","NE","NE","NE","NE","NE","CS6","CS6","true","NE","NE","NE","NE","NE",NA
"ENSG00000117009","n202","NE","CS8","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","NE","NE","NE",NA
"ENSG00000185973","n203","NE","CS6","NE","NE",NA,NA,NA,NA,NA,NA,"true","NE","NE","NE","NE","NE","NE"
"ENSG00000147383","n204","NE","CS5","NE","NE",NA,NA,NA,NA,NA,NA,"true","NE","NE","NE","NE","NE","NE"
"ENSG00000012660","n205","NE","CS8","NE","NE","NE","NE","NE","NE","CS6","CS6","false","NE","NE","E","NE","NE",NA
"ENSG00000128928","n206","NE","CS7","NE","NE","NE","NE","NE","NE","CS6","CS6","true","NE","NE","NE","NE","NE","NE"
"ENSG00000148090","n207","NE","CS4","NE","NE","NE","NE","NE","NE","CS5","CS5","true","NE","NE","NE","NE","NE","NE"
"ENSG00000078070","n208","NE","CS4","NE","NE","NE","NE","NE","NE","CS6","CS6","true","NE","NE","E","NE","NE",NA
