name,label
BRD8,CS1
LMO2,CS6
KDM5A,CS4
TAL1,CS3
RPS25,CS0
UPF2,CS0
RPLP1,CS0
RPLP2,CS0
ARFRP1,CS1
CYTH1,CS4
TOP3B,CS5
SNRPB,CS0
SNRPA,CS3
SLC9A3,CS4
PDZK1,CS2
SLC17A1,CS6
ANK1,CS6
OBSCN,CS7
SOX9,CS3
NR5A1,CS5
NRIP1,CS8
CLU,CS6
TGFBR2,CS4
UNC13B,CS3
STX1A,CS6
SIVA1,CS4
CD27,CS4
TGFBR1,CS4
FKBP1A,CS2
YY1,CS1
FKBP2,CS4
ARFGEF1,CS5
NCAPG2,CS0
MYO7A,CS5
AKAP10,CS4
APBB1,CS6
TFCP2,CS5
NFYB,CS1
CEBPZ,CS0
ZEB1,CS4
DRAP1,CS2
KAT5,CS0
E2F1,CS2
ABL1,CS4
ATM,CS7
NTRK1,CS5
HRAS,CS4
KRAS,CS3
SRC,CS4
EPHB2,CS6
TNFAIP3,CS6
TAX1BP1,CS4
TP53,CS9
WWOX,CS7
CDC14A,CS5
TNFRSF1A,CS6
PSMD2,CS0
SHC2,CS5
DDR2,CS4
CTNND1,CS4
CDH1,CS4
CBLL1,CS2
BIN1,CS4
ITGA1,CS4
EED,CS1
ITGA4,CS3
VHL,CS1
VBP1,CS1
JADE1,CS6
XRCC1,CS2
LIG3,CS2
PNKP,CS2
ZNF24,CS4
ZNF174,CS3
ZNF10,CS4
TRIM28,CS3
TRIM24,CS6
MEFV,CS6
COG5,CS5
VEZT,CS2
XPA,CS5
RPA4,CS4
RAD23A,CS4
XPC,CS7
CMIP,CS2
TRIO,CS2
CASR,CS5
HCFC1,CS0
GABPA,CS1
AGTR2,CS5
MTUS1,CS6
USP11,CS7
RANBP9,CS4
SFPQ,CS0
NONO,CS4
PRKCI,CS2
BMX,CS7
PTPN21,CS5
TRO,CS7
CITED1,CS5
CASK,CS6
TBR1,CS6
ID1,CS5
LRP2,CS3
DLG3,CS7
ERBB4,CS5
NCS1,CS5
IL1RAPL1,CS6
ARHGEF11,CS4
PLXNB3,CS5
UNC5A,CS6
MAGED1,CS5
LRPPRC,CS1
UXT,CS1
SUV39H1,CS5
UBE3A,CS5
UBQLN2,CS6
RAB9A,CS7
RABEPK,CS4
KLF8,CS5
CTBP2,CS3
TTC19,CS3
UPF3B,CS4
XPO1,CS0
NXF3,CS5
TIMM8A,CS1
STAM,CS6
SH3KBP1,CS7
SH3GL3,CS6
DMD,CS6
DTNA,CS6
WAS,CS6
ARHGEF9,CS5
GPHN,CS5
PQBP1,CS4
TXNL4A,CS0
WBP11,CS0
PHYH,CS5
F8,CS6
FMR1,CS6
FXR1,CS4
NUFIP1,CS1
MSN,CS4
TSC1,CS9
ASS1,CS2
ARAF,CS7
MAP2K2,CS3
COPS3,CS1
POLA1,CS1
RBMS1,CS5
RPGR,CS6
RPGRIP1,CS6
MPDZ,CS6
HTR2C,CS5
AP1G1,CS4
SYP,CS5
UBTF,CS0
TAF1,CS1
RAN,CS0
NR2C2,CS5
NCOA3,CS5
RNF4,CS1
NCOA4,CS1
PAK6,CS6
RCHY1,CS5
PIAS2,CS5
BPY2B,
INSM1,CS6
SORBS1,CS6
YAF2,CS3
CBX3,CS3
LBR,CS6
KLC1,CS6
MAPK8IP3,CS4
SNTB2,CS5
BCL2L1,CS0
AVEN,CS4
BNIP3,CS3
RTN1,CS4
BAX,CS6
BCL2A1,CS5
ABCA1,CS5
FADD,CS3
ANKRA2,CS2
LRP2BP,CS6
DAB2,CS5
DLG2,CS7
TBP,CS1
TAF13,CS2
PSTPIP1,CS5
PTPN12,CS4
PXN,CS2
TUFT1,CS5
TFIP11,CS1
PDE4D,CS6
PDE4DIP,
HNF4A,CS6
NFE2L2,CS3
TDG,CS3
AIRE,CS6
AP1B1,CS5
CDKN2A,CS7
PPP1R9B,
TIAF1,CS4
JAK3,CS5
STAT5A,CS2
RPL5,CS0
EIF5A,CS1
TLE5,CS3
PTRH2,CS3
TLE1,CS5
HES6,CS5
FOXA2,CS4
IL6ST,CS6
DVL1,CS3
EPS8,CS5
FASN,CS4
HIRA,CS1
UPF1,CS0
NFU1,CS3
PTPN13,CS5
PKN2,CS1
DSC3,CS6
PKP4,CS4
COIL,CS2
ATXN1,CS5
PEX19,CS3
PEX16,CS5
NUBP1,CS0
ZNHIT3,CS1
GARS1,CS0
IARS1,CS0
HTRA2,CS4
MAPK14,CS4
DUSP10,CS5
PCM1,CS3
BBS4,CS7
BCAR1,CS1
RAPGEF1,CS4
PSMB5,CS0
S100A7,
FLII,CS4
TRAIP,CS1
CSTF2,CS4
SUB1,CS5
XRCC2,CS1
RAD51D,CS1
MSC,CS6
ID2,CS5
TCF12,CS6
TCF4,CS6
PEX12,CS5
PEX5,CS4
PEX13,CS3
ARF6,CS3
NCBP2,CS0
NCBP1,CS0
PMF1,CS0
EIF2AK3,CS4
IGHMBP2,CS5
NCK1,CS5
EPHB1,CS5
MINK1,CS5
KPNA4,CS2
RECQL,CS5
DLG4,CS4
YAP1,CS3
PIAS1,CS3
STAT1,CS4
MAPKAPK2,CS5
S100P,CS5
KCNJ2,CS5
AP2M1,CS1
LY9,CS4
TIAM1,CS5
HNRNPL,CS0
PTBP1,CS1
IFI35,CS5
NMI,CS5
SYN2,
KCNIP3,CS2
TTF1,CS2
CAVIN1,CS6
CDKN1B,CS6
NUP50,CS1
BMPR2,CS4
CYFIP2,
INPPL1,CS5
SPEN,CS4
NCOR2,CS3
CDKN1C,CS6
UGCG,CS4
SERPINH1,CS7
UBQLN4,CS1
NEUROD1,CS6
DCTN1,CS2
COPB1,CS0
COPG1,CS0
COPG2,
MYO6,CS6
DCP1A,
MAZ,CS5
BPTF,CS1
TJP1,CS4
F11R,CS3
ADAM17,CS4
NPC2,CS5
PLXNB1,CS5
BOK,CS6
BAD,CS4
LSM6,CS0
SNRPD2,CS0
SNRPD3,
SNRPD1,CS0
ABCC2,CS5
MPP3,CS3
CADM1,CS5
THOP1,CS4
CSPG4,CS4
GRIP2,
RANBP1,CS2
CDC6,CS0
CDC45,CS0
PTK2B,CS7
MTOR,CS0
UBQLN1,CS4
ITGA3,CS5
SNX4,CS5
BMPR1A,CS3
SF3B4,CS0
RGS7,CS6
HNRNPD,CS4
HECW1,CS7
VPS37A,CS1
ETV6,CS5
MYBL2,CS3
ZNF622,CS2
SKP1,CS0
CACYBP,CS2
MAD2L1,CS0
ESR2,CS5
PPARG,CS5
HSPA8,CS2
BAG1,CS4
GRB10,CS6
GIGYF2,CS3
PROX1,CS4
USP7,CS1
EZH2,CS4
KHDRBS1,CS3
RAPSN,CS4
TFAP2C,CS3
RIT1,CS4
MRAS,CS6
PGR,CS6
PSMD4,CS0
RAD23B,CS4
GTF2I,CS3
THRB,CS7
PSMC5,CS0
TRAF1,CS5
HIVEP3,CS4
SMARCD2,CS4
CUL5,CS8
RNF7,CS6
SETDB1,CS3
PEX7,CS4
PEX10,CS4
STK19,CS5
SP3,CS5
MCM6,CS0
RFXAP,CS5
RFX5,CS3
BCL2L11,
BCL2L2,CS4
PTK6,CS4
STAP2,CS6
PSMB1,CS0
EXOSC6,CS0
DCP2,CS3
PPP1R12A,CS0
IL16,CS7
CBX4,CS4
RING1,CS4
RAC1,CS1
RAC2,CS4
CUL1,CS1
TALDO1,CS3
TACC1,CS5
YEATS4,CS1
CLNS1A,CS0
KIF22,CS2
SIAH1,CS4
PEG10,CS7
SIAH2,CS6
ATXN7,CS7
CRX,CS4
NEDD4,CS6
UBE2D2,CS4
TTF2,CS1
ILK,CS1
ILKAP,CS4
LIMS1,CS1
DNM2,CS1
SHANK1,CS6
BLMH,CS6
PPP2R5D,CS5
COPS5,CS0
CFTR,CS6
GOPC,CS6
SLBP,CS1
ERI1,CS5
SCAMP1,
ITSN1,CS6
IPCEF1,CS5
CYTH2,CS4
NR0B1,CS5
HEXIM1,CS2
COPB2,CS0
RGS4,CS6
MAP2K5,CS5
MAP3K3,CS5
SNAP23,CS1
SNAPIN,CS1
ARNTL,CS5
RANBP3,CS3
GOLGA2,CS3
GORASP2,CS5
MAGOH,CS1
RBM8A,CS0
ASIC3,CS6
TOLLIP,CS7
IL1RAP,CS6
PPP1R8,CS0
EIF4A1,CS0
RND1,CS3
RND3,CS6
ARHGAP5,CS5
HNRNPAB,CS4
TP63,CS5
NCOA1,CS5
NR1H4,CS4
CLSTN1,CS5
APBA2,CS3
FYB1,CS7
PRKAG1,CS3
PRKAB1,CS5
PRKAG2,CS4
PRKAB2,CS6
TNPO1,CS2
RGPD5,
DNMT3A,CS6
CDC5L,CS0
PPL,CS4
KAZN,CS5
SAFB2,CS3
SAFB,CS3
MAPK10,CS5
HDAC3,CS1
MAPK11,CS6
SMAD7,CS4
TRIP6,CS3
LPAR2,CS4
LHX2,CS7
E2F6,CS2
RYBP,
SAP18,CS0
POLE2,CS0
BTG1,CS5
PRMT1,CS0
TLR3,CS8
RNF216,CS5
TLR4,CS5
TLR5,CS5
ABI1,CS5
ENAH,CS3
SLC31A1,CS2
DUSP11,CS5
SRSF7,CS0
NEDD9,CS5
PNN,CS1
SRRM2,CS2
MCL1,CS2
BTAF1,CS3
MVD,CS1
FANCA,CS4
CHD4,CS0
ARHGEF7,CS2
TNKS,CS4
FNBP1,CS4
TRADD,CS6
TNFRSF25,CS6
PABPC4,CS4
RABIF,CS2
RIPK1,CS6
RIPK3,CS2
MYH13,CS5
BCL10,CS1
MALT1,CS6
CARD19,CS6
AP1G2,CS3
AP1S1,CS5
AP1S2,CS4
VAMP4,CS4
AP1M1,CS4
GPN1,CS0
MBD2,CS4
MBD3,CS4
MBD3L1,CS6
CHD8,CS3
HUNK,CS5
UBOX5,CS4
UBE2L3,CS0
HIC1,CS4
SLC22A4,CS5
PDZK1IP1,CS3
SLC22A12,CS5
DNM1L,CS1
GSK3B,CS4
CCNT2,CS5
CUL4A,CS4
CUL2,CS1
RAB27A,CS7
SYTL4,CS5
TROAP,CS2
RGS6,CS5
DMAP1,CS1
EIF3G,CS0
AKAP9,CS5
TACC3,CS1
ZBTB17,CS1
DIS3,CS1
PLCB2,CS6
TRPM7,CS1
ERBIN,CS5
PLXNB2,CS7
GRHPR,CS3
VPS37C,CS3
AKAP3,CS5
GNA13,CS4
GRAP2,CS5
GAB1,CS4
CCNDBP1,CS4
PABPC1,CS1
ANAPC5,CS0
ITGAE,CS6
TOM1,CS4
TNIP1,CS6
PDCD6IP,CS3
PRDX4,CS5
CLPB,CS4
STK16,CS6
NAGK,CS6
NCKAP1,CS1
GADD45G,CS5
GADD45GIP1,CS4
PACSIN3,CS4
PACSIN2,CS7
SPTBN2,CS5
SLC9A3R1,CS4
KCNJ1,CS6
UPF3A,CS2
NBL1,CS4
P4HB,CS4
TARBP2,CS3
EEA1,CS4
RAB22A,CS5
URI1,CS0
CNKSR1,CS5
RASSF1,CS6
MVP,CS5
PARP4,CS5
HDAC2,CS5
FEZ1,CS7
DISC1,CS6
ADAM15,CS5
SNX9,CS5
TLR9,CS4
RAB11A,CS2
RAB11FIP4,CS4
IFITM2,CS3
TRIM10,CS5
RHOQ,CS1
EXOC7,CS2
PBLD,CS5
STRAP,CS1
XRN2,CS0
ABI3BP,CS6
ABI3,CS5
PINX1,CS5
TXNIP,CS6
ZBTB32,CS6
CSPG5,CS4
ZMYND8,CS2
TNK2,CS6
HSH2D,
IPO13,CS0
PAX6,CS6
PLCB1,CS6
OSTM1,CS6
RGS17,CS6
RGS20,CS5
ORC6,CS0
AP4E1,CS5
AP4B1,CS5
SOX6,CS6
CENPK,CS0
VPS11,
EXOSC8,CS1
N4BP1,CS7
LSM2,CS0
LSM10,CS1
POLD2,CS0
RAB29,CS5
COL23A1,CS5
KCTD3,CS6
THUMPD3,CS6
ECT2,CS0
PARD6A,CS5
MAP1S,CS6
CECR2,
HEBP2,CS6
HSPB1,CS5
HSPB8,CS6
CCT5,CS0
THEG,CS5
PPFIA1,CS4
GIT1,CS4
SYNCRIP,CS2
PTPN11,CS1
RARA,CS4
MECR,CS3
NPLOC4,CS0
UFD1,CS0
ATF4,CS1
TRIB3,CS6
ARNT2,CS6
PARN,CS3
SPATC1L,CS5
EXOSC5,CS1
NCOA2,CS6
GFI1,CS5
ITCH,CS6
TGS1,CS1
MT-ND1,
LOXL1,CS6
FBLN5,CS5
MT2A,
PRKD1,CS7
NPR1,CS5
PRKG1,CS4
MT-ND2,
EPS15,CS5
RNF11,CS2
SLC9A3R2,CS5
KCNB1,CS6
KCNG2,CS6
USP33,CS3
DIO2,CS6
CHD3,CS5
TOPORS,CS7
PER1,CS6
CRY1,CS6
PER2,CS4
PAWR,CS7
THAP1,CS0
SERBP1,CS1
HSF1,CS2
SYMPK,CS0
DTNB,CS4
KIF5A,CS5
MCM4,CS0
LMO4,CS5
CCNE1,CS4
CUL3,CS1
EPB41L2,CS6
GRIA1,CS5
PDZD2,CS6
CTNND2,CS5
GNB5,CS6
GNG5,CS3
GNG4,CS3
GNG3,CS4
GNG7,CS6
ARL6IP5,CS5
ARL6,CS6
PIKFYVE,CS5
GGA2,CS5
SORT1,CS4
EXOSC7,CS0
ZNF496,CS6
NSD1,CS3
ARHGAP18,CS6
KNSTRN,CS6
EXOSC10,CS1
MTREX,CS0
PUM2,CS4
NANOS1,CS5
ARL6IP4,CS4
ARL6IP1,CS5
POLR1C,CS0
POLR1D,CS2
RNF34,CS5
DNAJA3,CS1
SYNE1,CS5
ING4,CS6
COPZ1,CS0
COPZ2,
EXOC2,CS2
LIN7B,CS5
MXD4,CS6
TCP10L,CS6
UBXN11,CS6
DNAJC30,CS4
DXO,CS4
ZHX3,CS5
ZHX1,CS5
PHC2,CS4
ARPC5,CS2
ARPC4,CS1
NEBL,CS6
MYPN,CS6
THOC7,CS1
NIF3L1,CS5
PPP1CA,CS1
PHACTR3,CS4
ATL2,CS2
ARL6IP6,CS4
ARID1B,CS4
PRPF6,CS0
TXNL4B,CS1
ERC2,CS4
DNMBP,CS6
EVL,CS6
VPS28,CS0
TNNI3,CS4
PKD2L1,CS4
TNNI3K,CS6
KLHL20,CS4
TAF10,CS1
EXOSC1,CS1
CDK14,CS6
SEPTIN8,
TLK1,CS3
ASF1A,CS3
ASF1B,CS3
GOLGA3,CS4
GOLGA7,CS8
MAST2,CS3
CDHR2,CS5
RNF5,CS4
POLE,CS0
POLR2G,CS0
SLC29A1,CS5
PRAME,CS6
NELFE,CS2
NELFB,CS0
NCOR1,CS4
CACTIN,CS0
CLIC1,CS5
ABHD16A,CS6
IFITM1,
HM13,CS4
TMEM147,CS4
TMEM222,CS6
DNAJC1,CS6
GPRC5C,CS6
SPAG7,CS4
ATP5MC3,CS5
CSNK2A2,CS5
CSNK2B,CS1
LYN,CS6
MBD4,CS4
C6orf47,CS4
FGFR3,CS5
ATP6V1G2,CS5
ATP6V1E1,CS0
TSC22D4,CS5
FCHSD2,CS5
CCDC158,CS6
LENG8,CS2
RHOXF2,
MAGEA11,CS4
MGME1,CS5
CALCOCO2,CS3
TP53RK,CS1
BNIP3L,CS7
DOK5,CS6
FAM27E3,
CCDC85B,CS4
MCM10,CS1
CEP70,CS4
KRT81,
KXD1,CS2
CFL1,CS2
ACTB,CS1
ZNF250,CS5
MAPRE2,CS5
EWSR1,CS0
PRTFDC1,CS7
TRIM29,CS5
CRACR2A,CS6
CLUAP1,CS5
CINP,CS0
CCNK,CS0
DVL3,CS5
MOAP1,CS6
MAGEH1,CS4
LNX1,CS6
QPRT,CS6
KRTAP4-12,
DCTD,CS6
VIM,CS6
C2CD6,CS5
TRAF2,CS4
FAM120B,CS6
PHLDA1,CS4
USHBP1,CS4
KLHL42,CS4
L3MBTL2,CS5
MEAF6,CS1
ZSCAN32,CS5
RBM10,CS1
PTBP2,CS5
RWDD2B,CS6
SULT1E1,CS5
ENOX1,CS4
POM121,CS3
CERT1,CS4
PLSCR1,CS5
CPSF6,CS0
ZBED1,CS6
SPEF1,CS4
LGALS8,CS7
DAZAP2,CS5
DCUN1D1,CS5
TRIM23,CS5
RIBC2,
FBF1,CS4
CBS,
VTA1,CS5
PDCD10,CS9
STK24,CS5
TRIP13,CS2
C11orf54,CS6
CEBPG,CS5
MLLT6,CS4
ZSCAN16,CS5
ZNF446,CS6
KANSL1,CS1
MAP1LC3B,
ZDHHC3,CS6
GPS2,CS4
SAT1,CS7
RBM17,CS0
FBXO28,CS3
NUDT21,CS0
MYL6,CS3
GTPBP3,CS4
MDFI,CS6
DDX19A,CS3
RBPMS,CS2
STRBP,CS5
NEK6,CS6
YWHAG,CS3
KIAA0408,CS6
DTX2,CS4
GPRIN2,CS4
ZBTB7B,CS4
ITM2C,CS5
RTN3,CS4
FXR2,CS6
NUDT18,
SLC22A24,
GYS1,CS5
GYG1,CS3
GSTM3,CS3
PHKB,CS5
C20orf27,CS6
SUFU,CS5
MVK,CS0
TESC,CS5
HMG20A,CS5
ZC3H14,CS6
NME5,CS4
DYDC1,CS3
DCAF8,CS4
ARHGEF15,CS5
MOB4,CS1
ANXA11,CS5
TIFA,CS6
ZBTB43,CS6
ZNF417,
LDOC1,CS5
CLDN7,CS5
ZC2HC1C,CS5
HNRNPK,CS0
RBM41,CS6
KAT7,CS2
TCHP,CS5
CCDC185,CS6
RASD1,CS7
CCDC33,CS6
RAD54B,CS5
KRT15,CS5
SMARCD1,CS5
PBXIP1,CS5
DVL2,CS5
ZNF821,CS6
CTPS2,CS5
AASDHPPT,CS2
BIRC2,CS3
DCTN2,CS1
GIN1,CS4
AGR2,CS5
KLHL12,CS3
PRR13,CS2
PHF10,CS4
AP5Z1,CS5
VSNL1,CS5
PHPT1,CS6
DNMT3L,CS6
MAGEA1,CS5
MIEF1,CS3
NOL3,CS5
CUTC,CS5
CNNM3,CS6
PPP1R37,CS4
ZMYND19,CS5
LZTS2,CS6
NUP62,CS1
NUP54,CS1
FBXW5,CS5
FHL3,CS6
GABARAPL2,CS6
MLX,CS2
NME1,CS3
NTAQ1,CS6
PBX3,CS5
AGTRAP,CS5
NAV2,CS5
BRME1,CS7
C19orf25,CS1
SEPTIN2,
SORBS3,CS6
APPL2,CS5
USP5,CS0
HOXB6,CS4
DCTPP1,CS5
FOXS1,CS5
LURAP1,CS3
THAP7,CS4
SLC25A6,CS6
EYA2,CS5
DMRTB1,CS2
NFIC,CS6
LLPH,CS1
DPPA2,CS2
ZNRD2,CS2
CCNH,CS1
BLOC1S6,CS7
WASHC3,CS3
MAPK1IP1L,CS3
ZNF655,CS4
INTS13,CS2
VTI1B,CS2
STX8,CS6
GPSM1,CS6
KCTD4,CS6
HK2,CS3
CFL2,CS4
ZNF337,CS6
DNAJC10,CS4
PGLS,CS3
RALYL,CS6
CHIC2,CS4
BAZ2B,CS4
PLOD3,CS5
PDCD6,CS2
TRIM37,CS1
FAM124B,CS5
PSME2,CS3
C1orf94,CS7
PIN1,CS5
RTL8A,
PSMF1,CS3
CYTH3,CS5
CBY2,CS5
NINL,CS6
RASSF8,CS4
FRMD6,CS7
BEX3,CS7
FHIT,CS6
NECAB2,CS5
FAM193B,CS4
POLI,CS7
PDLIM7,CS5
TENT5C,CS5
MYO1F,CS4
BSCL2,CS4
TMEM19,CS5
MAGEB18,CS5
EMC8,CS4
EMC2,CS3
ABLIM1,CS6
SMIM3,CS2
HOXA1,CS5
SKA1,CS1
POLL,CS5
NDUFAF1,CS3
ZNF165,CS5
CEP19,CS4
PAK5,CS5
TUBGCP4,CS0
SGTA,CS4
SPP1,CS6
SINHCAF,CS1
FAM131C,CS3
DHPS,CS1
VPS25,CS0
TCEANC,CS4
CEP63,CS3
MBIP,CS3
ELOA2,CS7
DLK2,CS4
ADAMTSL4,CS3
RABL6,CS5
DTNBP1,CS5
USP53,CS5
KHDRBS3,CS5
ZNF408,CS5
SNRPG,
DDIT4L,CS6
TYMSOS,
ACY1,CS6
TTC1,CS1
NT5C2,CS5
KRT20,CS5
CREB3,CS3
C18orf25,CS5
TPD52L3,CS4
FAM160A2,
CAVIN2,CS5
KPNA3,CS5
HNRNPC,CS0
ZNF638,CS3
WWP1,CS4
DFFA,CS5
LMO3,CS6
TADA2A,CS2
CNOT8,CS5
HOXA9,CS4
PSMA1,CS0
U2AF2,CS0
SRPK2,CS4
ELOA,CS4
TSPYL4,CS6
SPG7,CS6
DNAL4,CS6
DYNLL2,CS5
SOCS2,CS6
TBC1D5,CS4
PLEKHF2,CS5
RCBTB2,CS4
COPS4,CS0
CFAP53,CS7
AP2B1,CS3
MMTAG2,
SDCBP2,CS6
SPRY2,CS7
TRIM51,
PACSIN1,CS7
NECAP2,CS4
ZC3H10,CS4
RFX3,CS6
SQSTM1,CS5
APEX2,CS2
TSNAX,CS4
AKAP17A,CS5
DDIT3,CS4
HSD17B14,CS7
MED15,CS4
